受付日,受験番号,氏　名,,学校名,電話番号,PW,"試験
区分",入塾テスト代,受験票渡し済,"説明会
出欠",国語,数学,英語,採点結果,合否結果,手続,紹介カード有無,,備考
12月2日,T501,井原　紗良,,前原,090-4022-3163,0163,日,〇,〇,?,64,56,,120,〇,,,英・理社,姉妹で受験
12月2日,T502,森　くるみ,,前原,090-5449-2547,0547,日,〇,〇,〇,44,41,,85,×,,,英・理社,
12月2日,T503,滝本　乙稀,,前原,080-1195-8887,8887,土,〇,〇,〇,58,43,,101,〇,,,英・理社,兄弟で受験
12月2日,T504,小池　遥仁,,前原,090-6029-5441,5441,土,〇,〇,〇,74,68,,142,×,,,英・理社,
12月2日,T505,土屋　貴翔,,前原,080-4806-2245,2245,土,〇,〇,〇,54,56,,110,〇,,,英・理社,
12月2日,T506,坂田　花奏,,前原,080-1819-8751,8751,土,〇,〇,〇,67,47,,114,×,,,英・理社,
12月27日,T507,金子　湊佑,,前原,080-1163-2255,2255,日,〇,〇,〇,67,67,,134,〇,,,英・理社,
12月2日,T508,長谷川　柚菜,,前原,090-7174-9670,9670,日,〇,〇,〇,75,73,,148,×,,,,
12月2日,T509,堀内　優里奈,,二宮,090-7109-9766,9766,土,〇,〇,〇,75,51,,126,〇,,,,
12月2日,T510,紅露　奈扇,,前原,090-2449-9789,9789,土,〇,〇,〇,87,94,,181,×,,,,3H希望?
12月2日,T511,門田　真和,,前原,090-2469-6017,6017,日,〇,〇,〇,82,79,,161,〇,,,,
12月2日,T512,岡田　奏志,,前原,090-8772-1825,1825,土,〇,,〇,87,91,,178,×,,,,新中3岡田朋樹の弟
12月2日,T513,境　啓志,,前原,090-4945-2960,2960,日,〇,〇,〇,70,27,,97,〇,,,,
12月2日,T601,山本　一輝,,前原,070-4208-5286,5286,日,〇,〇,〇,86,57,,143,×,,,,
12月2日,T602,井原　美怜,,前原,090-4022-3163,3163,日,〇,〇,?,96,52,,148,〇,,,,姉妹で受験
12月2日,T603,滝本　祐大,,前原,080-1195-8887,8887,土,〇,〇,〇,62,58,,120,×,,,,兄弟で受験
,T604,,,,5603,5107,,,,,,,,,〇,,,,
,T605,,,,2649,6070,,,,,,,,,×,,,,
,T606,,,,5010,7961,,,,,,,,,〇,,,,
,T607,,,,439,7850,,,,,,,,,×,,,,
,T608,,,,2470,4459,,,,,,,,,〇,,,,
,T609,,,,1623,7948,,,,,,,,,×,,,,
,T610,,,,3199,9434,,,,,,,,,〇,,,,
,T101,,,,9612,9808,,,,,,,,,×,,,,
,T102,,,,8860,8093,,,,,,,,,〇,,,,
,T103,,,,1516,6647,,,,,,,,,〇,,,,
,T104,,,,4050,1184,,,,,,,,,×,,,,
,T105,,,,4883,5461,,,,,,,,,〇,,,,
,T106,,,,3294,3782,,,,,,,,,×,,,,
,T107,,,,,5154,,,,,,,,,〇,,,,
,T108,,,,,9346,,,,,,,,,×,,,,
,T109,,,,,2078,,,,,,,,,〇,,,,
,T110,,,,,7171,,,,,,,,,×,,,,
,T111,,,,,2247,,,,,,,,,〇,,,,
,T112,,,,,3471,,,,,,,,,×,,,,
,T113,,,,,5283,,,,,,,,,〇,,,,
,T114,,,,,0281,,,,,,,,,×,,,,
,T115,,,,,9407,,,,,,,,,〇,,,,
,T116,,,,,4209,,,,,,,,,×,,,,
,T117,,,,,8471,,,,,,,,,〇,,,,
,T118,,,,,1396,,,,,,,,,×,,,,
,T119,,,,,5711,,,,,,,,,〇,,,,
,T201,,,,,3336,,,,,,,,,×,,,,
,T202,,,,,1787,,,,,,,,,〇,,,,
,T203,,,,,4572,,,,,,,,,×,,,,
,T204,,,,,4353,,,,,,,,,〇,,,,
,T301,,,,,7324,,,,,,,,,×,,,,
,T302,,,,,7007,,,,,,,,,〇,,,,
